timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706187117461,302,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-48,text,true,,2690,689,100,100,https://blazedemo.com/purchase.php,292,0,0
1706187117295,468,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-28,text,true,,2412,635,100,100,https://blazedemo.com/reserve.php,468,0,131
1706187117447,324,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-20,text,true,,2629,689,100,100,https://blazedemo.com/purchase.php,324,0,0
1706187113668,4104,PuchaseFlight/confirmation.php-313,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-57,text,true,,2466,805,100,100,https://blazedemo.com/confirmation.php,4104,0,0
1706187117364,407,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-18,text,true,,2497,689,100,100,https://blazedemo.com/purchase.php,407,0,0
1706187117433,447,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-31,text,true,,2446,632,100,100,https://blazedemo.com/reserve.php,446,0,137
1706187117402,464,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-77,text,true,,2484,689,100,100,https://blazedemo.com/purchase.php,464,0,0
1706187117447,419,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-76,text,true,,2379,635,100,100,https://blazedemo.com/reserve.php,419,0,132
1706187117424,442,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-14,text,true,,2293,635,100,100,https://blazedemo.com/reserve.php,442,0,123
1706187117364,471,FindFlights/reserve.php-230,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-84,text,true,,2387,640,100,100,https://blazedemo.com/reserve.php,471,0,140
1706187116890,945,ChooseFlight/purchase.php-237,200,OK,jp@gc - Ultimate Thread Group ( Load Testing ) 1-68,text,true,,2534,689,100,100,https://blazedemo.com/purchase.php,934,0,0
